ItemName,Brand,Category,StockQty,ArrivalDate,ExpiryDate,DaysUntilExpiry,DailySaleAvg,SpoilageChance,SuggestedAction,StoreLocation,IsSpoiled,OnPromotion,TemperatureSensitive,StoreID,Zone,TemperatureSupport,DistanceToNearestStore,AvgDailySaleInNearbyStores
Bingo mad angles,Itc,Snacks,92,2025-06-20,2025-06-28,8,12.1,1.0,donate,Chennai,False,False,False,Chennai_0,South,Not Recorded,6.1,13.178196371286637
Multigrain cookies,Sunfeast,Bakery,224,2025-06-18,2025-06-29,11,9.0,1.0,donate,Kanpur,True,False,False,Kanpur_0,North,Not Recorded,5.0,8.98111835739282
Nestlé yogurt 150g,Nestlé,Dairy,201,2025-06-23,2025-06-26,3,20.1,1.0,donate,Mumbai,False,True,True,Mumbai_0,West,False,10.3,17.169272791481962
Tomato 1kg,Local farmer,Produce,204,2025-06-18,2025-06-21,3,9.7,1.0,donate,Kanpur,False,True,True,Kanpur_1,North,Not Recorded,8.8,11.07599655764262
Banana 6pcs,Local farmer,Produce,154,2025-06-14,2025-06-21,7,5.6,1.0,donate,Mumbai,True,True,True,Mumbai_1,West,False,10.4,4.641459733319056
Nestlé yogurt 150g,Nestlé,Dairy,262,2025-06-16,2025-06-20,4,2.0,1.0,donate,Delhi,True,False,True,Delhi_0,North,True,12.8,1.9979465960935088
Lays chips 100g,Pepsico,Snacks,232,2025-06-23,2025-07-03,10,9.7,0.96,donate,Kanpur,False,False,False,Kanpur_2,North,Not Recorded,6.1,8.330349530467792
Mutton mince 250g,Godrej,Meat,295,2025-06-26,2025-07-03,7,24.6,0.48,none,Bangalore,False,False,True,Bangalore_0,South,Not Recorded,14.7,25.49873415828835
Amul milk 500ml,Amul,Dairy,12,2025-06-26,2025-06-30,4,4.6,0.26,none,Chennai,False,False,True,Chennai_1,South,Not Recorded,2.7,4.323283412622314
Chicken breast 500g,Godrej,Meat,260,2025-06-25,2025-07-05,10,13.0,0.57,monitor,Delhi,False,True,True,Delhi_1,North,True,4.3,13.056745783367658
Brown bun pack,Harvest gold,Bakery,32,2025-06-24,2025-06-27,3,21.3,0.6,monitor,Delhi,False,False,False,Delhi_2,North,True,13.4,18.638055308412195
Mother dairy butter 100g,Mother dairy,Dairy,220,2025-06-19,2025-06-23,4,13.7,1.0,donate,Kanpur,False,False,True,Kanpur_3,North,Not Recorded,11.7,13.74722070854663
Lays chips 100g,Pepsico,Snacks,144,2025-06-14,2025-06-24,10,13.6,1.0,donate,Chennai,True,False,False,Chennai_2,South,Not Recorded,8.6,15.228350037244736
Kurkure masala,Pepsico,Snacks,59,2025-06-20,2025-06-23,3,12.2,1.0,donate,Chennai,True,True,False,Chennai_3,South,Not Recorded,13.1,12.034553856048332
Brown bun pack,Harvest gold,Bakery,90,2025-06-26,2025-07-08,12,22.4,0.08,none,Chennai,False,True,False,Chennai_4,South,Not Recorded,12.1,21.38176281187417
Spinach bunch,Local farmer,Produce,253,2025-06-12,2025-06-15,3,12.6,1.0,donate,Kanpur,True,True,True,Kanpur_4,North,Not Recorded,11.0,12.784893077313455
Spinach bunch,Local farmer,Produce,145,2025-06-15,2025-06-22,7,15.8,1.0,donate,Kanpur,True,False,True,Kanpur_5,North,Not Recorded,14.6,13.67137272910468
Nestlé yogurt 150g,Nestlé,Dairy,267,2025-06-13,2025-06-16,3,21.8,1.0,donate,Bangalore,False,False,True,Bangalore_1,South,Not Recorded,11.8,17.509534591270622
Brown bun pack,Harvest gold,Bakery,247,2025-06-25,2025-07-03,8,10.0,0.99,donate,Chennai,False,False,False,Chennai_5,South,Not Recorded,11.7,9.18473360546113
Fish fillet 300g,Freshcatch,Meat,228,2025-06-23,2025-06-27,4,20.6,1.0,donate,Bangalore,True,False,True,Bangalore_2,South,Not Recorded,8.8,18.62830601996076
Mutton mince 250g,Godrej,Meat,265,2025-06-15,2025-06-19,4,1.7,1.0,donate,Delhi,True,True,True,Delhi_3,North,True,3.9,1.7582630979301153
Bingo mad angles,Itc,Snacks,63,2025-06-25,2025-07-02,7,14.9,0.21,none,Mumbai,False,False,False,Mumbai_2,West,False,7.8,13.991406596879864
Kurkure masala,Pepsico,Snacks,283,2025-06-12,2025-06-15,3,12.9,1.0,donate,Chennai,True,False,False,Chennai_6,South,Not Recorded,6.2,14.039093464301198
Lays chips 100g,Pepsico,Snacks,116,2025-06-14,2025-06-22,8,7.0,1.0,donate,Kanpur,True,True,False,Kanpur_6,North,Not Recorded,5.5,7.872625900508424
Chicken breast 500g,Godrej,Meat,47,2025-06-19,2025-06-25,6,10.3,1.0,donate,Delhi,False,True,True,Delhi_4,North,True,12.4,12.047109475475253
Brown bun pack,Harvest gold,Bakery,222,2025-06-18,2025-06-22,4,23.4,1.0,donate,Mumbai,True,False,False,Mumbai_3,West,False,7.5,25.50253095085909
Mutton mince 250g,Godrej,Meat,96,2025-06-19,2025-07-01,12,22.0,0.29,none,Delhi,False,True,True,Delhi_5,North,True,3.7,23.368097843347567
Kurkure masala,Pepsico,Snacks,224,2025-06-24,2025-07-06,12,3.6,1.0,donate,Bangalore,True,True,False,Bangalore_3,South,Not Recorded,9.7,4.092703423630954
Multigrain cookies,Sunfeast,Bakery,60,2025-06-25,2025-06-30,5,10.4,0.58,monitor,Kanpur,False,False,False,Kanpur_7,North,Not Recorded,9.6,9.98200467382371
White bread,Harvest gold,Bakery,261,2025-06-25,2025-07-04,9,20.0,0.43,none,Bangalore,False,False,False,Bangalore_4,South,Not Recorded,13.3,19.4716923235652
Chicken breast 500g,Godrej,Meat,263,2025-06-19,2025-06-24,5,14.3,1.0,donate,Delhi,True,True,True,Delhi_6,North,True,6.9,14.1371559016738
Amul milk 500ml,Amul,Dairy,185,2025-06-12,2025-06-23,11,8.9,1.0,donate,Bangalore,False,False,True,Bangalore_5,South,Not Recorded,9.6,10.489396985263976
Spinach bunch,Local farmer,Produce,268,2025-06-16,2025-06-24,8,4.9,1.0,donate,Delhi,False,True,True,Delhi_7,North,True,3.9,5.049429827839362
Fish fillet 300g,Freshcatch,Meat,206,2025-06-18,2025-06-29,11,17.1,1.0,donate,Bangalore,True,False,True,Bangalore_6,South,Not Recorded,11.7,16.774538800564105
Bingo mad angles,Itc,Snacks,60,2025-06-22,2025-07-03,11,21.6,0.11,none,Delhi,False,True,False,Delhi_8,North,True,13.5,19.39404919312268
Chicken breast 500g,Godrej,Meat,100,2025-06-26,2025-07-05,9,2.8,1.0,donate,Kanpur,True,True,True,Kanpur_8,North,Not Recorded,3.8,3.057532088603736
Brown bun pack,Harvest gold,Bakery,39,2025-06-19,2025-06-30,11,10.3,0.38,none,Chennai,False,False,False,Chennai_7,South,Not Recorded,9.2,11.742330189454153
Fish fillet 300g,Freshcatch,Meat,40,2025-06-21,2025-06-25,4,12.5,1.0,donate,Chennai,True,True,True,Chennai_8,South,Not Recorded,7.2,11.247595042159588
Kurkure masala,Pepsico,Snacks,148,2025-06-12,2025-06-19,7,0.6,1.0,donate,Delhi,True,False,False,Delhi_9,North,True,4.9,0.7125352148857804
