transaction_id,customer_id,transaction_date,transaction_time,customer_age_group,customer_location_city,customer_location_state,zip_code,membership_tier,product_category,product_name,quantity,unit_price,total_amount,payment_method
TXN009170,CUST00313,2025-09-27,13:29,36-45,Portland,OR,66909,Gold,Edibles,Chocolate Bar 100mg,1,22.75,22.75,Debit Card
TXN014840,CUST01052,2025-08-04,20:49,36-45,San Diego,CA,18953,Silver,Accessories,Lighter,1,3.07,3.07,Cash
TXN079650,CUST00652,2025-09-28,15:03,18-25,Boulder,CO,11716,Silver,Flower,Wedding Cake,2,44.88,89.77,Digital Wallet
TXN009890,CUST00781,2025-02-07,19:06,26-35,Tucson,AZ,77359,Platinum,Topicals,Bath Bomb 100mg,1,25.96,25.96,Credit Card
TXN037950,CUST01166,2025-01-07,11:28,46-55,Boulder,CO,49011,Platinum,Concentrates,Wax 1g,1,48.76,48.76,Debit Card
TXN072071,CUST00275,2025-04-13,17:16,26-35,San Diego,CA,78119,Silver,Edibles,Cookies 50mg,1,17.9,17.9,Digital Wallet
TXN005690,CUST01189,2025-05-06,15:42,36-45,Phoenix,AZ,10780,,Topicals,Bath Bomb 100mg,1,25.86,25.86,Debit Card
TXN007762,CUST01003,2025-04-11,12:36,36-45,Portland,OR,35069,Gold,Concentrates,Wax 1g,1,46.69,46.69,Cash
TXN075251,CUST00349,2024-09-18,10:49,36-45,Los Angeles,CA,39561,Platinum,Vapes,Hybrid Cart 0.5g,1,35.83,35.83,Debit Card
TXN065780,CUST00979,2025-06-27,15:45,46-55,Phoenix,AZ,30422,Platinum,Vapes,Disposable Vape,1,28.85,28.85,Cash
TXN066590,CUST00707,2024-07-16,12:15,18-25,Denver,CO,82945,Platinum,Vapes,Sativa Cart 0.5g,1,35.32,35.32,Debit Card
TXN018531,CUST00471,2025-03-02,17:20,18-25,San Diego,California,65112,Gold,Topicals,Bath Bomb 100mg,1,26.11,26.11,Debit Card
TXN003330,CUST00166,2025-01-29,16:39,36-45,Tucson,AZ,15357,Standard,Accessories,Glass Pipe,2,28.83,57.67,Cash
TXN006820,CUST00172,2025-04-27,14:56,46-55,San Diego,CA,24338,Silver,Topicals,THC Balm 200mg,1,36.09,36.09,Debit Card
TXN010193,CUST00138,2024-12-26,10:39,18-25,Portland,OR,95462,Platinum,Flower,Granddaddy Purple,1,39.81,39.81,Credit Card
TXN077750,CUST00006,2025-11-27,13:46,18-25,Tucson,AZ,99819,Platinum,Edibles,Gummy Bears 100mg,1,24.29,24.29,Debit Card
TXN062280,CUST00639,2025-05-27,13:20,36-45,Las Vegas,NV,64132,Gold,Topicals,THC Balm 200mg,1,34.12,34.12,Cash
TXN038190,CUST00609,2025-01-20,09:03,18-25,Los Angeles,CA,96543,Silver,Vapes,Indica Cart 0.5g,1,33.46,33.46,Debit Card
TXN047391,CUST00279,2025-01-17,13:37,46-55,Seattle,WA,66694,Standard,Flower,Pineapple Express,1,36.43,36.43,Cash
TXN062350,CUST00521,2025-08-26,11:50,26-35,Las Vegas,NV,67367,Standard,Edibles,Brownies 100mg,1,19.52,19.52,Credit Card
TXN014571,CUST00313,2025-01-26,10:13,36-45,Portland,OR,61033,Platinum,Concentrates,Distillate 1g,1,57.26,57.26,Debit Card
TXN063380,CUST00658,2025-07-21,15:44,36-45,Las Vegas,NV,61075,Silver,Vapes,Sativa Cart 0.5g,1,35.27,35.27,Credit Card
TXN057750,CUST00367,2025-08-10,09:02,36-45,San Diego,CA,71476,Gold,Topicals,THC Balm 200mg,2,35.61,71.22,Cash
TXN051750,CUST00811,2025-10-24,18:44,56+,Phoenix,AZ,50910,Gold,Concentrates,Wax 1g,1,47.33,47.33,Cash
TXN011221,CUST00032,2025-12-30,10:59,26-35,San Francisco,CA,91448,Platinum,Concentrates,Distillate 1g,3,56.96,170.87,Cash
TXN002470,CUST00168,2026-01-25,13:22,18-25,Portland,OR,52610,Platinum,Accessories,Storage Container,1,15.11,15.11,Debit Card
TXN011320,CUST00787,2024-11-10,16:56,46-55,Boulder,CO,64948,Platinum,Topicals,THC Balm 200mg,1,36.18,36.18,Credit Card
TXN049210,CUST01153,2025-08-09,13:08,26-35,Portland,OR,90939,Silver,Topicals,CBD Lotion 100mg,1,41.79,41.79,Digital Wallet
TXN027832,CUST00784,2025-12-14,13:22,36-45,Phoenix,AZ,26302,Silver,Flower,Girl Scout Cookies,1,39.93,39.93,Credit Card
TXN076040,CUST00421,2024-07-10,16:18,56+,Boulder,CO,13396,Gold,Edibles,Brownies 100mg,1,19.13,19.13,Debit Card
TXN037090,CUST00760,2025-12-15,16:54,46-55,San Diego,CA,55584,Standard,Concentrates,Live Resin 1g,1,49.89,49.89,Cash
TXN022300,CUST00144,2025-05-20,15:38,56+,San Francisco,CA,34974,Gold,Accessories,Lighter,1,3.14,3.14,Digital Wallet
TXN058831,CUST00926,2026-01-20,16:41,18-25,San Francisco,CA,55850,Silver,Edibles,Mints 50mg,1,14.75,14.75,Digital Wallet
TXN075330,CUST00884,10/23/2024,09:46,46-55,Portland,OR,31229,Standard,Flower,Pineapple Express,1,36.04,36.04,Cash
TXN047691,CUST00536,2024-09-21,11:43,18-25,San Diego,CA,52456,Gold,Accessories,Grinder,1,24.09,24.09,Cash
TXN063031,CUST00622,2024-12-26,11:51,46-55,San Diego,CA,83837,Gold,Edibles,Hard Candy 100mg,1,20.47,20.47,Digital Wallet
